BU_CODE,bronnaam,BU_code_dk
BU01530406,Akzo Nobel Chemicals BV Hengelo,
BU01530207,Akzo Nobel Chemicals BV Hengelo,
BU01500106,Akzo Nobel Chemicals BV Hengelo,
BU01530402,Akzo Nobel Chemicals BV Hengelo,
BU01411903,Akzo Nobel Chemicals BV Hengelo,
BU02000708,Akzo Nobel Chemicals BV Hengelo,
BU01190700,Attero Noord BV,
BU02020528,AVR Afvalverwerking BV Duiven,
BU02260301,AVR Afvalverwerking BV Duiven,
BU02280401,AVR Afvalverwerking BV Duiven,
BU05992308,BP Raffinaderij Rotterdam BV,
BU05990118,Eon Blekerhof,
BU09173302,Onbekend Heerlen,
BU03440931,Eneco Lage Weide,
BU03560800,Eneco Lage Weide,
BU03073100,gas WKK eneco,
BU03211236,Eneco Lage Weide,
BU03440111,Eneco Merwedekanaal,
BU03440321,Eneco Merwedekanaal,
BU02680950,ENGIE Energie Centrale Gelderland,
BU07941401,Ennatuurlijk Helmond 1 2,
BU05182813,EOn Centrale Den Haag,
BU05184002,EOn Centrale Den Haag,
BU05184212,EOn Centrale Den Haag,
BU05460408,Eon Centrale Leiden,
BU05460901,Eon Centrale Leiden,
BU05790024,Eon Centrale Leiden,
BU16211321,EON Centrale RoCa,
BU05020881,EON Centrale RoCa,
BU05991467,EON Centrale RoCa,
BU04891735,EON Centrale RoCa,
BU07580601,Essent Stadsverwarming Breda,
BU07790202,Essent Stadsverwarming Geertruidenberg,
BU07961102,Onbekend Den Bosch,
BU08260604,Essent Stadsverwarming Oosterhout,
BU07724260,Onbekend Eindhoven 1,
BU07726399,Onbekend Eindhoven 2,
BU19301001,Esso Nederland BV Raffinaderij Rotterdam,
BU05050402,HVC Afvalcentrale Dordrecht,
BU05900007,Oostpolder,
BU03981501,HVC Alkmaar,
BU03981601,HVC Alkmaar,
BU09956666,,BU09956331
BU04730102,Onbekend Zandvoort,
BU04797210,Onbekend Zaanstad,
BU00340499,Nuon Power Generation BV Diemen,
BU03840803,Nuon Power Generation BV Diemen,
BU03631105,,BU03631007
BU07180403,Sloe Centrale BV Vlissingen,
BU04390504,Biowarmtecentrale de Purmer BWC 1 ,
BU00340201,WKC Almere,
BU00340206,WKC Almere,
BU00340210,WKC Almere,
BU00340272,WKC Almere,
BU00500004,Onbekend Zeewolde,
BU06770104,Onbekend Hulst,
BU00340202,,BU00340271
BU00340203,,BU00340204
BU00340204,,BU00340205
BU00340205,,BU00340271
BU00340207,,BU00340205
BU00340208,,BU00340207
BU00340209,,BU00340272
BU00340211,,BU00340209
BU00340212,,BU00340210
BU00340213,,BU00340211
BU00340214,,BU00340213
BU00340215,,BU00340272
BU00340271,,BU00340209
BU00340273,,BU00340212
BU00340299,,BU00340201
BU00340401,,BU00340402
BU00340402,,BU00340401
BU00340403,,BU00340402
BU01530606,,BU01530607
BU01530607,,BU01530207
BU01530608,,BU01530607
BU02022447,,BU02020528
BU02022448,,BU02022447
BU02022449,,BU02022447
BU02260305,,BU02260402
BU02260306,,BU02260301
BU02260308,,BU02260306
BU02260401,,BU02260301
BU02260402,,BU02260401
BU02280402,,BU02280401
BU02680970,,BU02680950
BU02930002,,BU02930004
BU02930004,,BU02260401
BU02990102,,BU02260308
BU03072403,,BU03072900
BU03072404,,BU03072403
BU03072900,,BU03072902
BU03072902,,BU03073101
BU03073101,,BU03073100
BU03211230,,BU03211236
BU03211234,,BU03211236
BU03211237,,BU03211236
BU03211341,,BU03211237
BU03211342,,BU03211237
BU03211345,,BU03211237
BU03440311,,BU03440321
BU03440312,,BU03440322
BU03440322,,BU03440321
BU03440331,,BU03440341
BU03440341,,BU03440321
BU03440342,,BU03440341
BU03440413,,BU03440311
BU03440431,,BU03440413
BU03440534,,BU03440431
BU03440611,,BU03440612
BU03440612,,BU03440613
BU03440613,,BU03440823
BU03440623,,BU03440611
BU03440626,,BU03440611
BU03440628,,BU03440613
BU03440821,,BU03440822
BU03440822,,BU03440823
BU03440823,,BU03440111
BU03440831,,BU03440822
BU03440912,,BU03440921
BU03440913,,BU03440931
BU03440921,,BU03440922
BU03440922,,BU03440931
BU03440932,,BU03440931
BU03440941,,BU03440932
BU03440942,,BU03440941
BU03440943,,BU03440941
BU03560400,,BU03560800
BU03560500,,BU03562400
BU03560700,,BU03560800
BU03561000,,BU03561400
BU03561200,,BU03561000
BU03561400,,BU03562400
BU03562400,,BU03560400
BU03620401,,BU03620502
BU03620502,,BU03632304
BU03620901,,BU03620401
BU03621201,,BU03620401
BU03631007,Afval Energie Bedrijf Amsterdam,
BU03631201,,BU03631500
BU03631500,,BU03631105
BU03632304,,BU03635806
BU03633301,,BU03633305
BU03633302,,BU03633301
BU03633304,,BU03633305
BU03633305,,BU03633501
BU03633500,,BU03633501
BU03633501,,BU03633502
BU03633502,,BU03635101
BU03633504,,BU03633502
BU03633505,,BU03633502
BU03633900,,BU03631105
BU03633901,,BU03633900
BU03634803,,BU03638701
BU03635100,,BU03840803
BU03635101,,BU03635100
BU03635102,,BU03635101
