BU_CODE,Panden,Aansluitingen,Aansluit_lengte_m,Hoofdleiding_lengte_m
BU00030000,1104,1104,11077,9312
BU00030001,1352,1352,16895,14258
BU00030002,2557,2557,40164,21618
BU00030007,140,140,2402,9838
BU00030008,58,58,1540,8025
BU00030009,75,75,1508,12590
BU00100101,333,333,3045,3873
BU00100202,559,559,5601,4080
BU00100203,433,433,5756,5390
BU00100204,539,539,7837,4290
BU00100205,67,67,1047,1552
BU00100221,6,6,65,1197
BU00100306,256,256,2376,3224
BU00100307,510,510,5036,5708
BU00100308,280,280,3511,3274
BU00100309,71,71,1608,3857
BU00100410,23,23,295,1495
BU00100411,530,530,6991,3021
BU00100412,314,314,4638,1671
BU00100413,135,135,1518,965
BU00100414,112,112,1420,1360
BU00100415,78,78,854,1202
BU00100416,1,1,34,0
BU00100417,11,11,228,789
BU00100518,351,351,4401,3413
BU00100519,162,162,1611,1644
BU00100520,134,134,1516,1365
BU00100622,112,112,1688,2655
BU00100623,86,86,1036,1599
BU00100624,143,143,1950,1465
BU00100625,715,715,9152,5417
BU00100626,891,891,14402,6597
BU00100646,213,213,2241,2405
BU00100647,26,26,269,780
BU00100727,31,31,377,699
BU00100728,23,23,312,950
BU00100730,18,18,722,894
BU00100733,436,436,5217,5128
BU00100734,45,45,520,875
BU00100735,129,129,1149,2652
BU00100736,78,78,950,1621
BU00100737,269,269,3291,3341
BU00100738,561,561,6427,7240
BU00100739,237,237,7288,55842
BU00100829,2,2,27,106
BU00100831,70,70,2064,15772
BU00100932,188,188,2716,3260
BU00100940,62,62,811,1684
BU00100941,177,177,2095,2961
BU00100942,160,160,1891,2718
BU00100943,427,427,5116,5713
BU00100944,791,791,9929,9157
BU00100945,253,253,8589,59849
BU00100948,11,11,131,259
BU00140000,1015,1015,7238,6952
BU00140001,1454,1454,10619,10670
BU00140002,837,837,7330,5081
BU00140003,281,281,2216,2103
BU00140004,2,2,21,208
BU00140005,1259,1259,13573,7074
BU00140007,23,23,316,1643
BU00140008,25,25,294,1152
BU00140100,259,259,4534,2066
BU00140101,1608,1608,11779,7833
BU00140102,422,422,3629,2514
BU00140103,645,645,6907,5951
BU00140104,316,316,4314,3020
BU00140105,249,249,1863,1268
BU00140106,567,567,7368,3631
BU00140107,293,293,3027,2313
BU00140108,21,21,435,3694
BU00140109,24,24,263,1445
BU00140200,855,855,9732,4835
BU00140201,1320,1320,10847,5765
BU00140202,1257,1257,11298,6970
BU00140203,493,493,5234,3836
BU00140300,975,975,9358,7004
BU00140301,1786,1786,18147,11181
BU00140302,1420,1420,17198,8613
BU00140400,860,860,11014,6399
BU00140401,454,454,3807,4621
BU00140402,953,953,8012,5161
BU00140403,324,324,3715,3096
BU00140404,112,112,1633,2402
BU00140500,127,127,562,1259
BU00140501,55,55,1105,2156
BU00140502,70,70,1488,5547
BU00140503,100,100,1265,834
BU00140504,2,2,9,48
BU00140505,33,33,497,2758
BU00140506,129,129,3018,5819
BU00140507,30,30,597,3224
BU00140508,27,27,636,2956
BU00140509,4,4,74,780
BU00140510,10,10,382,1877
BU00140511,3,3,25,41
BU00140600,86,86,1240,2791
BU00140601,1292,1292,24223,8389
BU00140602,267,267,2373,3012
BU00140603,368,368,6419,7089
BU00140604,1605,1605,22293,10319
BU00140605,1028,1028,14499,7980
BU00140606,1209,1209,15648,10555
BU00140700,882,882,11163,9244
BU00140701,1002,1002,12397,8668
